syshost=owens database=pbsacct software=samtools executables=None cpuhours=42000.18 corehours=16908.27 nodehours=1093.12 n_jobs=306 n_users=8 n_groups=8 n_accounts=8 year=2020 month=07
syshost=owens database=pbsacct software=bedtools executables=None cpuhours=41998.89 corehours=2251.58 nodehours=1833.80 n_jobs=1550 n_users=12 n_groups=9 n_accounts=9 year=2020 month=07
syshost=owens database=pbsacct software=fastx executables=None cpuhours=39035.73 corehours=12723.45 nodehours=1951.79 n_jobs=286 n_users=2 n_groups=2 n_accounts=2 year=2020 month=07
syshost=owens database=pbsacct software=run_xyzvort executables=None cpuhours=34969.97 corehours=3247.74 nodehours=1181.24 n_jobs=166 n_users=9 n_groups=7 n_accounts=8 year=2020 month=07
syshost=owens database=pbsacct software=tapsim executables=None cpuhours=31118.72 corehours=31063.83 nodehours=2348.56 n_jobs=45 n_users=1 n_groups=1 n_accounts=1 year=2020 month=07
syshost=owens database=pbsacct software=fluent executables=None cpuhours=30488.77 corehours=25496.37 nodehours=1088.88 n_jobs=194 n_users=7 n_groups=5 n_accounts=4 year=2020 month=07
syshost=owens database=pbsacct software=tsc executables=None cpuhours=28453.90 corehours=27670.30 nodehours=1043.57 n_jobs=41 n_users=3 n_groups=3 n_accounts=4 year=2020 month=07
syshost=owens database=pbsacct software=3dh executables=None cpuhours=28150.48 corehours=27590.22 nodehours=1012.39 n_jobs=17 n_users=1 n_groups=1 n_accounts=1 year=2020 month=07
syshost=owens database=pbsacct software=matlab executables=None cpuhours=22374.11 corehours=11784.64 nodehours=1000.22 n_jobs=330 n_users=12 n_groups=11 n_accounts=12 year=2020 month=07
syshost=owens database=pbsacct software=so_gen_weights executables=None cpuhours=20992.89 corehours=10460.22 nodehours=749.75 n_jobs=211 n_users=3 n_groups=1 n_accounts=1 year=2020 month=07
syshost=owens database=pbsacct software=singularity executables=None cpuhours=15878.78 corehours=4635.03 nodehours=440.68 n_jobs=953 n_users=7 n_groups=4 n_accounts=4 year=2020 month=07
syshost=owens database=pbsacct software=bwa executables=None cpuhours=14555.82 corehours=1695.62 nodehours=630.82 n_jobs=773 n_users=11 n_groups=10 n_accounts=10 year=2020 month=07
syshost=owens database=pbsacct software=bam executables=None cpuhours=14529.99 corehours=5980.40 nodehours=614.08 n_jobs=1417 n_users=19 n_groups=13 n_accounts=13 year=2020 month=07
syshost=owens database=pbsacct software=pop executables=None cpuhours=14236.81 corehours=10438.42 nodehours=489.85 n_jobs=9310 n_users=13 n_groups=4 n_accounts=5 year=2020 month=07
syshost=owens database=pbsacct software=cam executables=None cpuhours=14004.08 corehours=10797.32 nodehours=613.51 n_jobs=419 n_users=6 n_groups=5 n_accounts=5 year=2020 month=07
