syshost=owens database=pbsacct year=2019 month=05 software=amber executables=None cpuhours=32688.31 corehours=31734.17 nodehours=2046.98 n_jobs=793 n_users=10 n_groups=9 n_accounts=9 
syshost=owens database=pbsacct year=2019 month=05 software=adf executables=None cpuhours=32063.39 corehours=20565.69 nodehours=1795.69 n_jobs=3220 n_users=19 n_groups=17 n_accounts=16 
syshost=owens database=pbsacct year=2019 month=05 software=inho executables=None cpuhours=19271.64 corehours=14653.18 nodehours=838.49 n_jobs=116 n_users=1 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2019 month=05 software=xgc executables=None cpuhours=18402.75 corehours=18382.59 nodehours=18302.01 n_jobs=810 n_users=3 n_groups=2 n_accounts=2 
syshost=owens database=pbsacct year=2019 month=05 software=singularity executables=None cpuhours=18250.53 corehours=7803.06 nodehours=813.56 n_jobs=2070 n_users=9 n_groups=6 n_accounts=5 
syshost=owens database=pbsacct year=2019 month=05 software=comsol executables=None cpuhours=17294.93 corehours=11619.30 nodehours=514.88 n_jobs=76 n_users=11 n_groups=11 n_accounts=11 
syshost=owens database=pbsacct year=2019 month=05 software=run_probtrackx executables=None cpuhours=16977.58 corehours=3631.94 nodehours=3946.18 n_jobs=4586 n_users=3 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2019 month=05 software=eddy executables=None cpuhours=16562.92 corehours=2306.72 nodehours=645.19 n_jobs=46 n_users=2 n_groups=2 n_accounts=2 
syshost=owens database=pbsacct year=2019 month=05 software=bowtie executables=None cpuhours=12755.07 corehours=3994.88 nodehours=618.36 n_jobs=1998 n_users=41 n_groups=24 n_accounts=18 
syshost=owens database=pbsacct year=2019 month=05 software=beast executables=None cpuhours=11933.75 corehours=3013.39 nodehours=497.24 n_jobs=23 n_users=1 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2019 month=05 software=nwchem executables=None cpuhours=10122.56 corehours=10114.88 nodehours=633.95 n_jobs=111 n_users=3 n_groups=3 n_accounts=3 
syshost=owens database=pbsacct year=2019 month=05 software=ncbi executables=None cpuhours=10060.69 corehours=1391.64 nodehours=285.91 n_jobs=720 n_users=21 n_groups=12 n_accounts=12 
syshost=owens database=pbsacct year=2019 month=05 software=SiteCorrelationLowCov executables=None cpuhours=9895.40 corehours=970.20 nodehours=989.54 n_jobs=2562 n_users=1 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2019 month=05 software=imd.x executables=None cpuhours=9651.43 corehours=9607.59 nodehours=9651.43 n_jobs=10026 n_users=1 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2019 month=05 software=cutadapt executables=None cpuhours=9109.78 corehours=3875.45 nodehours=1592.04 n_jobs=1192 n_users=10 n_groups=10 n_accounts=9 
syshost=owens database=pbsacct year=2019 month=05 software=molcas executables=None cpuhours=7994.39 corehours=3610.34 nodehours=1795.40 n_jobs=954 n_users=4 n_groups=2 n_accounts=3 
