syshost=pitzer database=pbsacct year=2019 month=04 software=lammps executables=None cpuhours=1387046.42 corehours=1277554.72 nodehours=41924.59 n_jobs=993 n_users=10 n_groups=7 n_accounts=5 
syshost=pitzer database=pbsacct year=2019 month=04 software=gaussian executables=None cpuhours=810357.17 corehours=660304.59 nodehours=19331.50 n_jobs=1021 n_users=12 n_groups=10 n_accounts=10 
syshost=pitzer database=pbsacct year=2019 month=04 software=vasp executables=None cpuhours=758360.62 corehours=719355.67 nodehours=19534.52 n_jobs=910 n_users=8 n_groups=4 n_accounts=4 
syshost=pitzer database=pbsacct year=2019 month=04 software=qchem executables=None cpuhours=357217.39 corehours=159871.71 nodehours=18363.35 n_jobs=3640 n_users=11 n_groups=3 n_accounts=4 
syshost=pitzer database=pbsacct year=2019 month=04 software=python executables=None cpuhours=341416.52 corehours=77531.38 nodehours=26552.81 n_jobs=10988 n_users=67 n_groups=37 n_accounts=37 
syshost=pitzer database=pbsacct year=2019 month=04 software=foam executables=None cpuhours=318350.69 corehours=58934.80 nodehours=7974.65 n_jobs=305 n_users=3 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=04 software=cam executables=None cpuhours=273407.73 corehours=272567.63 nodehours=6835.19 n_jobs=301 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=04 software=raspa executables=None cpuhours=146423.16 corehours=146039.64 nodehours=146423.16 n_jobs=6069 n_users=4 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=04 software=orca executables=None cpuhours=126620.82 corehours=42720.98 nodehours=3165.68 n_jobs=149 n_users=4 n_groups=3 n_accounts=3 
syshost=pitzer database=pbsacct year=2019 month=04 software=xgc executables=None cpuhours=125219.30 corehours=124522.67 nodehours=125219.30 n_jobs=6229 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=04 software=a_out executables=None cpuhours=101848.55 corehours=100237.66 nodehours=3001.82 n_jobs=341 n_users=6 n_groups=4 n_accounts=4 
syshost=pitzer database=pbsacct year=2019 month=04 software=bam executables=None cpuhours=100379.38 corehours=62154.61 nodehours=7691.90 n_jobs=5525 n_users=7 n_groups=4 n_accounts=4 
syshost=pitzer database=pbsacct year=2019 month=04 software=molcas executables=None cpuhours=87737.88 corehours=37719.29 nodehours=32661.32 n_jobs=1085 n_users=3 n_groups=1 n_accounts=3 
syshost=pitzer database=pbsacct year=2019 month=04 software=yt executables=None cpuhours=64122.76 corehours=4066.07 nodehours=3840.97 n_jobs=976 n_users=50 n_groups=20 n_accounts=18 
syshost=pitzer database=pbsacct year=2019 month=04 software=spades executables=None cpuhours=63690.26 corehours=11078.84 nodehours=803.89 n_jobs=184 n_users=3 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=04 software=gadget executables=None cpuhours=57874.29 corehours=30760.12 nodehours=1516.09 n_jobs=22 n_users=1 n_groups=1 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=04 software=megahit executables=None cpuhours=51017.38 corehours=34513.00 nodehours=2587.44 n_jobs=870 n_users=2 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=04 software=cosmosis executables=None cpuhours=49556.07 corehours=6034.20 nodehours=1238.90 n_jobs=15 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=04 software=ncl executables=None cpuhours=39259.91 corehours=39081.76 nodehours=981.50 n_jobs=42 n_users=3 n_groups=3 n_accounts=3 
syshost=pitzer database=pbsacct year=2019 month=04 software=converge executables=None cpuhours=37760.52 corehours=37277.94 nodehours=944.01 n_jobs=77 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=04 software=psi4 executables=None cpuhours=35946.01 corehours=15606.78 nodehours=861.14 n_jobs=1653 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=04 software=AraSim executables=None cpuhours=34903.75 corehours=33140.48 nodehours=883.46 n_jobs=92 n_users=2 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=04 software=run_xyzvort executables=None cpuhours=32007.41 corehours=20920.30 nodehours=1652.40 n_jobs=10737 n_users=5 n_groups=3 n_accounts=4 
syshost=pitzer database=pbsacct year=2019 month=04 software=WrightonPipeline executables=None cpuhours=31018.37 corehours=12678.99 nodehours=1515.01 n_jobs=208 n_users=2 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=04 software=sses executables=None cpuhours=26642.87 corehours=30.52 nodehours=698.92 n_jobs=76 n_users=3 n_groups=3 n_accounts=2 
