syshost=pitzer database=pbsacct year=2019 month=02 software=orca executables=None cpuhours=5023.07 corehours=1542.92 nodehours=77.61 n_jobs=25 n_users=3 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=02 software=real_exe executables=None cpuhours=4371.09 corehours=4027.64 nodehours=213.73 n_jobs=6 n_users=2 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=02 software=megahit executables=None cpuhours=3706.02 corehours=1009.88 nodehours=98.19 n_jobs=1762 n_users=2 n_groups=2 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=02 software=eden executables=None cpuhours=3481.73 corehours=163.12 nodehours=80.60 n_jobs=76 n_users=2 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=02 software=hpl executables=None cpuhours=3203.50 corehours=2910.46 nodehours=79.54 n_jobs=255 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=02 software=padc executables=None cpuhours=2420.58 corehours=2385.39 nodehours=60.99 n_jobs=81 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=02 software=ftes executables=None cpuhours=1906.73 corehours=190.20 nodehours=95.34 n_jobs=1 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=02 software=namd executables=None cpuhours=1413.03 corehours=1407.67 nodehours=88.31 n_jobs=5 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=02 software=gzip executables=None cpuhours=1313.04 corehours=1056.48 nodehours=65.58 n_jobs=519 n_users=2 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=02 software=pwscf executables=None cpuhours=774.54 corehours=771.18 nodehours=19.39 n_jobs=18 n_users=4 n_groups=4 n_accounts=4 
syshost=pitzer database=pbsacct year=2019 month=02 software=chimera executables=None cpuhours=660.13 corehours=6.27 nodehours=23.58 n_jobs=4 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=02 software=bismark executables=None cpuhours=596.42 corehours=141.14 nodehours=21.30 n_jobs=12 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=02 software=maxsolve executables=None cpuhours=575.41 corehours=562.09 nodehours=14.39 n_jobs=10 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=02 software=find3rdVsquare executables=None cpuhours=510.19 corehours=50.28 nodehours=56.55 n_jobs=34 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=02 software=OffsetBlockVTime executables=None cpuhours=359.21 corehours=234.92 nodehours=359.21 n_jobs=13387 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=02 software=elk executables=None cpuhours=347.19 corehours=133.99 nodehours=173.59 n_jobs=8 n_users=1 n_groups=1 n_accounts=1 
