syshost=pitzer database=pbsacct software=singularity executables=None cpuhours=17275.87 corehours=4709.76 nodehours=572.62 n_jobs=31 n_users=6 n_groups=6 n_accounts=5 year=2020 month=04
syshost=pitzer database=pbsacct software=rosetta executables=None cpuhours=17054.39 corehours=16931.46 nodehours=481.18 n_jobs=186 n_users=1 n_groups=1 n_accounts=1 year=2020 month=04
syshost=pitzer database=pbsacct software=AraSim executables=None cpuhours=15396.04 corehours=12617.34 nodehours=1385.10 n_jobs=4973 n_users=2 n_groups=2 n_accounts=2 year=2020 month=04
syshost=pitzer database=pbsacct software=overlap executables=None cpuhours=15027.25 corehours=935.48 nodehours=253.88 n_jobs=23 n_users=4 n_groups=4 n_accounts=3 year=2020 month=04
syshost=pitzer database=pbsacct software=charmm executables=None cpuhours=15005.62 corehours=13677.15 nodehours=375.14 n_jobs=17 n_users=2 n_groups=2 n_accounts=2 year=2020 month=04
syshost=pitzer database=pbsacct software=spades executables=None cpuhours=14681.27 corehours=2140.28 nodehours=209.90 n_jobs=6 n_users=3 n_groups=3 n_accounts=3 year=2020 month=04
syshost=pitzer database=pbsacct software=orca executables=None cpuhours=14407.02 corehours=791.93 nodehours=408.27 n_jobs=45 n_users=5 n_groups=5 n_accounts=5 year=2020 month=04
syshost=pitzer database=pbsacct software=amber executables=None cpuhours=13143.69 corehours=12597.76 nodehours=328.70 n_jobs=431 n_users=5 n_groups=4 n_accounts=5 year=2020 month=04
syshost=pitzer database=pbsacct software=ash executables=None cpuhours=12397.31 corehours=1410.98 nodehours=938.40 n_jobs=258 n_users=46 n_groups=33 n_accounts=34 year=2020 month=04
syshost=pitzer database=pbsacct software=cam executables=None cpuhours=12319.69 corehours=8749.62 nodehours=1465.81 n_jobs=392 n_users=4 n_groups=4 n_accounts=4 year=2020 month=04
syshost=pitzer database=pbsacct software=augustus executables=None cpuhours=11079.61 corehours=656.83 nodehours=681.95 n_jobs=59 n_users=1 n_groups=1 n_accounts=2 year=2020 month=04
syshost=pitzer database=pbsacct software=wget executables=None cpuhours=9834.81 corehours=288.06 nodehours=4917.40 n_jobs=184 n_users=1 n_groups=1 n_accounts=1 year=2020 month=04
syshost=pitzer database=pbsacct software=gzip executables=None cpuhours=8758.28 corehours=873.00 nodehours=856.09 n_jobs=1039 n_users=3 n_groups=3 n_accounts=3 year=2020 month=04
syshost=pitzer database=pbsacct software=3dh executables=None cpuhours=6265.80 corehours=5616.79 nodehours=156.65 n_jobs=1 n_users=1 n_groups=1 n_accounts=1 year=2020 month=04
syshost=pitzer database=pbsacct software=mafft executables=None cpuhours=6006.16 corehours=2492.25 nodehours=246.10 n_jobs=39 n_users=2 n_groups=2 n_accounts=2 year=2020 month=04
syshost=pitzer database=pbsacct software=atat executables=None cpuhours=5823.36 corehours=5675.83 nodehours=146.37 n_jobs=71 n_users=2 n_groups=2 n_accounts=2 year=2020 month=04
