syshost=owens database=pbsacct software=yt executables=None cpuhours=39729.19 corehours=7627.25 nodehours=3987.03 n_jobs=619 n_users=82 n_groups=41 n_accounts=37 year=2020 month=02
syshost=owens database=pbsacct software=hy3s executables=None cpuhours=35400.98 corehours=28845.72 nodehours=1817.90 n_jobs=737 n_users=22 n_groups=15 n_accounts=15 year=2020 month=02
syshost=owens database=pbsacct software=mafft executables=None cpuhours=32045.68 corehours=1324.58 nodehours=1326.74 n_jobs=251 n_users=1 n_groups=1 n_accounts=1 year=2020 month=02
syshost=owens database=pbsacct software=pwscf executables=None cpuhours=31442.39 corehours=23811.89 nodehours=1122.94 n_jobs=437 n_users=2 n_groups=2 n_accounts=2 year=2020 month=02
syshost=owens database=pbsacct software=SiteCorrelationLowCov executables=None cpuhours=30941.76 corehours=3071.92 nodehours=3094.18 n_jobs=3442 n_users=1 n_groups=1 n_accounts=1 year=2020 month=02
syshost=owens database=pbsacct software=arts executables=None cpuhours=27374.90 corehours=0.22 nodehours=977.68 n_jobs=36 n_users=1 n_groups=1 n_accounts=1 year=2020 month=02
syshost=owens database=pbsacct software=samtools executables=None cpuhours=24795.46 corehours=7316.96 nodehours=962.94 n_jobs=209 n_users=12 n_groups=10 n_accounts=10 year=2020 month=02
syshost=owens database=pbsacct software=singularity executables=None cpuhours=22617.49 corehours=5456.49 nodehours=1206.90 n_jobs=1456 n_users=11 n_groups=5 n_accounts=6 year=2020 month=02
syshost=owens database=pbsacct software=mfc executables=None cpuhours=17943.49 corehours=4447.91 nodehours=1281.68 n_jobs=102 n_users=1 n_groups=1 n_accounts=1 year=2020 month=02
syshost=owens database=pbsacct software=bismark executables=None cpuhours=17455.98 corehours=16866.73 nodehours=865.55 n_jobs=234 n_users=5 n_groups=5 n_accounts=5 year=2020 month=02
syshost=owens database=pbsacct software=spades executables=None cpuhours=17371.19 corehours=5137.51 nodehours=772.72 n_jobs=699 n_users=6 n_groups=5 n_accounts=5 year=2020 month=02
syshost=owens database=pbsacct software=blender executables=None cpuhours=17204.79 corehours=2525.51 nodehours=614.46 n_jobs=64 n_users=3 n_groups=2 n_accounts=2 year=2020 month=02
syshost=owens database=pbsacct software=mpas executables=None cpuhours=16162.31 corehours=1681.55 nodehours=675.98 n_jobs=1319 n_users=9 n_groups=1 n_accounts=2 year=2020 month=02
syshost=owens database=pbsacct software=cam executables=None cpuhours=15344.81 corehours=11567.70 nodehours=658.25 n_jobs=3516 n_users=16 n_groups=15 n_accounts=15 year=2020 month=02
syshost=owens database=pbsacct software=virsorter executables=None cpuhours=12545.44 corehours=3313.59 nodehours=998.97 n_jobs=964 n_users=4 n_groups=2 n_accounts=2 year=2020 month=02
