syshost=pitzer database=pbsacct year=2018 month=11 software=lammps executables=None cpuhours=1467374.56 corehours=1439555.47 nodehours=37407.54 n_jobs=1467 n_users=9 n_groups=6 n_accounts=6 
syshost=pitzer database=pbsacct year=2018 month=11 software=gromacs executables=None cpuhours=648603.97 corehours=606436.41 nodehours=16215.26 n_jobs=828 n_users=9 n_groups=5 n_accounts=5 
syshost=pitzer database=pbsacct year=2018 month=11 software=foam executables=None cpuhours=414987.85 corehours=104592.58 nodehours=10353.87 n_jobs=413 n_users=6 n_groups=3 n_accounts=3 
syshost=pitzer database=pbsacct year=2018 month=11 software=namd executables=None cpuhours=361053.86 corehours=358500.70 nodehours=17000.34 n_jobs=431 n_users=3 n_groups=3 n_accounts=3 
syshost=pitzer database=pbsacct year=2018 month=11 software=tsc executables=None cpuhours=305855.60 corehours=302254.69 nodehours=7647.57 n_jobs=48 n_users=2 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2018 month=11 software=starccm executables=None cpuhours=298205.91 corehours=285244.52 nodehours=7454.69 n_jobs=21 n_users=2 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2018 month=11 software=vasp executables=None cpuhours=267944.61 corehours=256244.23 nodehours=8379.39 n_jobs=594 n_users=3 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2018 month=11 software=beast executables=None cpuhours=261075.23 corehours=62726.64 nodehours=9324.12 n_jobs=8615 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2018 month=11 software=cosmosis executables=None cpuhours=196251.44 corehours=195521.08 nodehours=4906.29 n_jobs=45 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2018 month=11 software=a_out executables=None cpuhours=160816.33 corehours=160123.95 nodehours=4146.53 n_jobs=1228 n_users=3 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2018 month=11 software=python executables=None cpuhours=156063.75 corehours=30678.50 nodehours=25606.09 n_jobs=2373 n_users=19 n_groups=17 n_accounts=20 
syshost=pitzer database=pbsacct year=2018 month=11 software=qchem executables=None cpuhours=73082.34 corehours=25900.03 nodehours=3002.98 n_jobs=1387 n_users=7 n_groups=2 n_accounts=4 
syshost=pitzer database=pbsacct year=2018 month=11 software=bam executables=None cpuhours=18139.21 corehours=3041.18 nodehours=453.48 n_jobs=27 n_users=2 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2018 month=11 software=padc executables=None cpuhours=16208.02 corehours=16128.87 nodehours=529.71 n_jobs=16 n_users=1 n_groups=1 n_accounts=1 
