syshost=owens database=pbsacct year=2017 month=09 software=lammps executables=None cpuhours=1873125.71 corehours=1783118.06 nodehours=69399.21 n_jobs=2408 n_users=28 n_groups=12 n_accounts=13 
syshost=owens database=pbsacct year=2017 month=09 software=foam executables=None cpuhours=1476641.31 corehours=165172.72 nodehours=52743.19 n_jobs=497 n_users=5 n_groups=4 n_accounts=4 
syshost=owens database=pbsacct year=2017 month=09 software=vasp executables=None cpuhours=1160555.26 corehours=1080764.08 nodehours=42875.43 n_jobs=46034 n_users=13 n_groups=7 n_accounts=8 
syshost=owens database=pbsacct year=2017 month=09 software=matlab executables=None cpuhours=761809.18 corehours=184374.14 nodehours=29268.64 n_jobs=4637 n_users=27 n_groups=22 n_accounts=22 
syshost=owens database=pbsacct year=2017 month=09 software=python executables=None cpuhours=538318.35 corehours=163703.90 nodehours=21839.41 n_jobs=13227 n_users=100 n_groups=47 n_accounts=46 
syshost=owens database=pbsacct year=2017 month=09 software=les_mpi executables=None cpuhours=468281.27 corehours=41680.24 nodehours=17117.31 n_jobs=36303 n_users=2 n_groups=2 n_accounts=3 
syshost=owens database=pbsacct year=2017 month=09 software=lsp executables=None cpuhours=369205.40 corehours=366581.45 nodehours=13212.33 n_jobs=306 n_users=3 n_groups=1 n_accounts=2 
syshost=owens database=pbsacct year=2017 month=09 software=iedg_mix executables=None cpuhours=362752.19 corehours=332471.00 nodehours=12948.63 n_jobs=3623 n_users=2 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2017 month=09 software=molcas executables=None cpuhours=354805.58 corehours=212264.92 nodehours=60192.58 n_jobs=3449 n_users=5 n_groups=2 n_accounts=2 
syshost=owens database=pbsacct year=2017 month=09 software=a_out executables=None cpuhours=348859.78 corehours=348338.29 nodehours=13797.70 n_jobs=578 n_users=11 n_groups=7 n_accounts=7 
syshost=owens database=pbsacct year=2017 month=09 software=tapsim executables=None cpuhours=318907.00 corehours=316952.37 nodehours=11461.60 n_jobs=38 n_users=1 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2017 month=09 software=ncl executables=None cpuhours=307307.05 corehours=306863.11 nodehours=10975.85 n_jobs=317 n_users=7 n_groups=4 n_accounts=4 
syshost=owens database=pbsacct year=2017 month=09 software=gaussian executables=None cpuhours=243907.93 corehours=224172.09 nodehours=13619.85 n_jobs=1682 n_users=22 n_groups=13 n_accounts=14 
syshost=owens database=pbsacct year=2017 month=09 software=cfl3d executables=None cpuhours=237771.24 corehours=229943.29 nodehours=8699.47 n_jobs=135 n_users=1 n_groups=1 n_accounts=2 
syshost=owens database=pbsacct year=2017 month=09 software=qchem executables=None cpuhours=237272.68 corehours=88863.97 nodehours=8478.47 n_jobs=7344 n_users=8 n_groups=3 n_accounts=3 
syshost=owens database=pbsacct year=2017 month=09 software=ncbi executables=None cpuhours=230619.18 corehours=170679.30 nodehours=8238.39 n_jobs=4911 n_users=4 n_groups=3 n_accounts=3 
syshost=owens database=pbsacct year=2017 month=09 software=cp2k executables=None cpuhours=205368.83 corehours=202431.18 nodehours=7334.60 n_jobs=11 n_users=1 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2017 month=09 software=adf executables=None cpuhours=192979.70 corehours=186616.01 nodehours=7007.55 n_jobs=1454 n_users=16 n_groups=15 n_accounts=16 
syshost=owens database=pbsacct year=2017 month=09 software=dirac-pilot executables=None cpuhours=178785.79 corehours=177752.92 nodehours=178785.79 n_jobs=9042 n_users=1 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2017 month=09 software=phonon executables=None cpuhours=170798.46 corehours=170620.06 nodehours=6099.95 n_jobs=1659 n_users=1 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2017 month=09 software=namd executables=None cpuhours=155672.48 corehours=154045.18 nodehours=5561.69 n_jobs=932 n_users=9 n_groups=7 n_accounts=6 
syshost=owens database=pbsacct year=2017 month=09 software=gromacs executables=None cpuhours=144531.03 corehours=140304.30 nodehours=6443.42 n_jobs=568 n_users=13 n_groups=9 n_accounts=8 
syshost=owens database=pbsacct year=2017 month=09 software=overlap executables=None cpuhours=134993.46 corehours=43912.13 nodehours=10978.76 n_jobs=2981 n_users=2 n_groups=2 n_accounts=2 
syshost=owens database=pbsacct year=2017 month=09 software=multturb executables=None cpuhours=111089.24 corehours=104331.68 nodehours=55236.13 n_jobs=2527 n_users=1 n_groups=1 n_accounts=2 
syshost=owens database=pbsacct year=2017 month=09 software=rosetta executables=None cpuhours=109026.42 corehours=108073.01 nodehours=107356.63 n_jobs=15946 n_users=2 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2017 month=09 software=FDTDxx executables=None cpuhours=101245.61 corehours=86925.44 nodehours=3760.22 n_jobs=91 n_users=1 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2017 month=09 software=raspa executables=None cpuhours=96838.75 corehours=93796.40 nodehours=79932.96 n_jobs=2923 n_users=4 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2017 month=09 software=starccm executables=None cpuhours=89430.34 corehours=68895.88 nodehours=3193.94 n_jobs=588 n_users=9 n_groups=6 n_accounts=6 
syshost=owens database=pbsacct year=2017 month=09 software=lsdyna executables=None cpuhours=87470.19 corehours=86301.94 nodehours=3232.45 n_jobs=82 n_users=7 n_groups=5 n_accounts=5 
syshost=owens database=pbsacct year=2017 month=09 software=vnc executables=None cpuhours=82855.63 corehours=9843.20 nodehours=2959.13 n_jobs=471 n_users=45 n_groups=27 n_accounts=26 
syshost=owens database=pbsacct year=2017 month=09 software=augustus executables=None cpuhours=61583.22 corehours=30178.16 nodehours=2258.53 n_jobs=2057 n_users=1 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2017 month=09 software=res executables=None cpuhours=52606.11 corehours=23503.32 nodehours=1610.64 n_jobs=231 n_users=8 n_groups=8 n_accounts=8 
