syshost=owens database=pbsacct year=2019 month=08 software=ncl executables=None cpuhours=44304.42 corehours=43676.88 nodehours=3472.07 n_jobs=52763 n_users=5 n_groups=5 n_accounts=5 
syshost=owens database=pbsacct year=2019 month=08 software=cfl3d executables=None cpuhours=43160.29 corehours=40818.04 nodehours=1541.60 n_jobs=575 n_users=2 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2019 month=08 software=bwa executables=None cpuhours=41871.89 corehours=3992.53 nodehours=2621.58 n_jobs=5235 n_users=8 n_groups=6 n_accounts=5 
syshost=owens database=pbsacct year=2019 month=08 software=cp2k executables=None cpuhours=40109.62 corehours=40092.91 nodehours=2015.52 n_jobs=47 n_users=2 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2019 month=08 software=real_exe executables=None cpuhours=39695.23 corehours=38890.12 nodehours=1418.07 n_jobs=4325 n_users=4 n_groups=3 n_accounts=2 
syshost=owens database=pbsacct year=2019 month=08 software=lsp executables=None cpuhours=39330.12 corehours=36179.08 nodehours=1404.65 n_jobs=53 n_users=2 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2019 month=08 software=virsorter executables=None cpuhours=34034.23 corehours=12757.68 nodehours=3755.28 n_jobs=1236 n_users=4 n_groups=2 n_accounts=1 
syshost=owens database=pbsacct year=2019 month=08 software=phonon executables=None cpuhours=32042.93 corehours=31773.61 nodehours=1144.39 n_jobs=36 n_users=4 n_groups=4 n_accounts=4 
syshost=owens database=pbsacct year=2019 month=08 software=adf executables=None cpuhours=26866.42 corehours=8931.38 nodehours=1876.79 n_jobs=4611 n_users=25 n_groups=18 n_accounts=17 
syshost=owens database=pbsacct year=2019 month=08 software=grib executables=None cpuhours=26231.27 corehours=17595.99 nodehours=1000.65 n_jobs=4715 n_users=5 n_groups=4 n_accounts=4 
syshost=owens database=pbsacct year=2019 month=08 software=so_gen_weights executables=None cpuhours=22394.09 corehours=8552.84 nodehours=846.02 n_jobs=604 n_users=3 n_groups=1 n_accounts=1 
syshost=owens database=pbsacct year=2019 month=08 software=bowtie executables=None cpuhours=20938.69 corehours=3851.42 nodehours=1207.52 n_jobs=863 n_users=22 n_groups=15 n_accounts=16 
syshost=owens database=pbsacct year=2019 month=08 software=gtc executables=None cpuhours=20845.06 corehours=2513.94 nodehours=491.76 n_jobs=257 n_users=4 n_groups=4 n_accounts=4 
syshost=owens database=pbsacct year=2019 month=08 software=AraSim executables=None cpuhours=16912.11 corehours=16226.20 nodehours=608.01 n_jobs=55 n_users=2 n_groups=2 n_accounts=1 
syshost=owens database=pbsacct year=2019 month=08 software=fastqc executables=None cpuhours=16025.58 corehours=1907.30 nodehours=779.99 n_jobs=6421 n_users=26 n_groups=16 n_accounts=11 
syshost=owens database=pbsacct year=2019 month=08 software=orca executables=None cpuhours=15803.35 corehours=14860.01 nodehours=841.16 n_jobs=74 n_users=7 n_groups=5 n_accounts=5 
