syshost=pitzer database=pbsacct year=2019 month=07 software=lammps executables=None cpuhours=1092013.54 corehours=1087334.21 nodehours=41529.26 n_jobs=2231 n_users=14 n_groups=12 n_accounts=12 
syshost=pitzer database=pbsacct year=2019 month=07 software=vasp executables=None cpuhours=1036849.63 corehours=1025275.84 nodehours=26279.44 n_jobs=1946 n_users=8 n_groups=4 n_accounts=4 
syshost=pitzer database=pbsacct year=2019 month=07 software=qchem executables=None cpuhours=840183.61 corehours=495890.31 nodehours=28310.72 n_jobs=1936 n_users=14 n_groups=5 n_accounts=5 
syshost=pitzer database=pbsacct year=2019 month=07 software=gromacs executables=None cpuhours=490194.00 corehours=426071.44 nodehours=12500.34 n_jobs=222 n_users=11 n_groups=8 n_accounts=8 
syshost=pitzer database=pbsacct year=2019 month=07 software=foam executables=None cpuhours=480755.56 corehours=49573.32 nodehours=12018.90 n_jobs=198 n_users=2 n_groups=2 n_accounts=3 
syshost=pitzer database=pbsacct year=2019 month=07 software=raspa executables=None cpuhours=207022.70 corehours=206447.94 nodehours=188301.58 n_jobs=3430 n_users=4 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=namd executables=None cpuhours=164896.03 corehours=164405.25 nodehours=4587.49 n_jobs=65 n_users=7 n_groups=4 n_accounts=4 
syshost=pitzer database=pbsacct year=2019 month=07 software=gaussian executables=None cpuhours=144351.73 corehours=130089.66 nodehours=3766.20 n_jobs=593 n_users=12 n_groups=8 n_accounts=8 
syshost=pitzer database=pbsacct year=2019 month=07 software=python executables=None cpuhours=119141.45 corehours=36341.25 nodehours=17125.76 n_jobs=3420 n_users=40 n_groups=29 n_accounts=27 
syshost=pitzer database=pbsacct year=2019 month=07 software=a_out executables=None cpuhours=104384.39 corehours=103801.75 nodehours=3203.06 n_jobs=635 n_users=6 n_groups=4 n_accounts=3 
syshost=pitzer database=pbsacct year=2019 month=07 software=ncl executables=None cpuhours=96521.84 corehours=95537.81 nodehours=2413.05 n_jobs=433 n_users=4 n_groups=3 n_accounts=3 
syshost=pitzer database=pbsacct year=2019 month=07 software=R executables=None cpuhours=74257.19 corehours=13655.83 nodehours=3061.12 n_jobs=1122 n_users=6 n_groups=6 n_accounts=6 
syshost=pitzer database=pbsacct year=2019 month=07 software=molcas executables=None cpuhours=66864.86 corehours=33255.35 nodehours=12381.79 n_jobs=2668 n_users=4 n_groups=1 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=07 software=mrbayes executables=None cpuhours=64216.93 corehours=1648.25 nodehours=1605.45 n_jobs=65 n_users=1 n_groups=1 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=07 software=gzip executables=None cpuhours=57344.25 corehours=38753.52 nodehours=2901.37 n_jobs=10807 n_users=6 n_groups=6 n_accounts=5 
syshost=pitzer database=pbsacct year=2019 month=07 software=tsc executables=None cpuhours=57013.40 corehours=56804.11 nodehours=1425.34 n_jobs=116 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=cam executables=None cpuhours=54896.03 corehours=54466.80 nodehours=1508.89 n_jobs=248 n_users=2 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=07 software=bam executables=None cpuhours=47643.93 corehours=11832.17 nodehours=956.68 n_jobs=415 n_users=6 n_groups=5 n_accounts=4 
syshost=pitzer database=pbsacct year=2019 month=07 software=AraSim executables=None cpuhours=43425.46 corehours=41255.96 nodehours=1131.94 n_jobs=60 n_users=1 n_groups=1 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=07 software=xgc executables=None cpuhours=43091.05 corehours=42921.77 nodehours=3527.61 n_jobs=123 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=yt executables=None cpuhours=40213.15 corehours=638.13 nodehours=2183.77 n_jobs=405 n_users=28 n_groups=19 n_accounts=18 
syshost=pitzer database=pbsacct year=2019 month=07 software=eddy executables=None cpuhours=38908.26 corehours=7495.31 nodehours=1046.08 n_jobs=96 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=vnc executables=None cpuhours=38843.88 corehours=1914.78 nodehours=971.10 n_jobs=154 n_users=26 n_groups=23 n_accounts=23 
syshost=pitzer database=pbsacct year=2019 month=07 software=mexe executables=None cpuhours=28636.56 corehours=28490.29 nodehours=716.07 n_jobs=14 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=spades executables=None cpuhours=23294.64 corehours=6086.55 nodehours=1040.93 n_jobs=327 n_users=5 n_groups=3 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=run_xyzvort executables=None cpuhours=22366.97 corehours=2766.86 nodehours=500.29 n_jobs=172 n_users=5 n_groups=3 n_accounts=3 
syshost=pitzer database=pbsacct year=2019 month=07 software=megahit executables=None cpuhours=22268.39 corehours=3420.83 nodehours=1111.24 n_jobs=347 n_users=3 n_groups=3 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=07 software=sord executables=None cpuhours=21176.39 corehours=991.56 nodehours=1001.08 n_jobs=1933 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=ncbi executables=None cpuhours=18017.01 corehours=11027.41 nodehours=512.56 n_jobs=148 n_users=10 n_groups=4 n_accounts=4 
syshost=pitzer database=pbsacct year=2019 month=07 software=trial executables=None cpuhours=17634.45 corehours=17548.38 nodehours=551.08 n_jobs=203 n_users=2 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=converge executables=None cpuhours=17069.11 corehours=17006.30 nodehours=426.73 n_jobs=12 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=Rstudio executables=None cpuhours=16519.41 corehours=1609.14 nodehours=830.75 n_jobs=71 n_users=11 n_groups=11 n_accounts=10 
syshost=pitzer database=pbsacct year=2019 month=07 software=hy3s executables=None cpuhours=15267.42 corehours=11154.31 nodehours=487.55 n_jobs=361 n_users=6 n_groups=6 n_accounts=6 
syshost=pitzer database=pbsacct year=2019 month=07 software=setsm executables=None cpuhours=15152.61 corehours=7989.14 nodehours=380.47 n_jobs=131 n_users=2 n_groups=2 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=bwa executables=None cpuhours=15068.71 corehours=11287.11 nodehours=223.56 n_jobs=40 n_users=4 n_groups=4 n_accounts=4 
syshost=pitzer database=pbsacct year=2019 month=07 software=hmmer executables=None cpuhours=11940.24 corehours=431.50 nodehours=176.07 n_jobs=133 n_users=2 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=beast executables=None cpuhours=11385.18 corehours=3753.61 nodehours=406.61 n_jobs=55 n_users=2 n_groups=2 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=WrightonPipeline executables=None cpuhours=11143.27 corehours=6521.86 nodehours=557.16 n_jobs=9 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=rosetta executables=None cpuhours=10771.27 corehours=10016.06 nodehours=269.28 n_jobs=742 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=3dldc executables=None cpuhours=10354.87 corehours=10319.34 nodehours=258.87 n_jobs=1 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=jetxb executables=None cpuhours=10174.17 corehours=10136.50 nodehours=254.35 n_jobs=4 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=abinit executables=None cpuhours=9973.23 corehours=9933.23 nodehours=498.83 n_jobs=31 n_users=2 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=07 software=bowtie executables=None cpuhours=7384.38 corehours=3130.78 nodehours=312.94 n_jobs=283 n_users=7 n_groups=5 n_accounts=5 
syshost=pitzer database=pbsacct year=2019 month=07 software=singularity executables=None cpuhours=6343.98 corehours=700.22 nodehours=100.81 n_jobs=473 n_users=4 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=07 software=amber executables=None cpuhours=6063.54 corehours=5754.49 nodehours=223.71 n_jobs=497 n_users=5 n_groups=5 n_accounts=5 
syshost=pitzer database=pbsacct year=2019 month=07 software=kmeans executables=None cpuhours=5928.70 corehours=915.58 nodehours=741.09 n_jobs=16 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=ash executables=None cpuhours=5838.82 corehours=2867.23 nodehours=2919.41 n_jobs=51 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=phonon executables=None cpuhours=4871.26 corehours=4828.90 nodehours=121.90 n_jobs=112 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=evp executables=None cpuhours=4502.23 corehours=4487.84 nodehours=141.99 n_jobs=15 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=07 software=padc executables=None cpuhours=4439.93 corehours=4423.43 nodehours=111.00 n_jobs=4 n_users=1 n_groups=1 n_accounts=1 
